repo,stars_latest,stars_30m_ago,stars_24h_ago,growth_30m,growth_24h,window_30m_available,window_24h_available,snapshot_count,note,collected_at
KudoAI/chatgpt.js,2028,2028,2028,0,0,True,False,7,缺少 24 小时前快照,2026-05-11T18:12:07.425241+00:00
ezshine/AwesomeSites,1950,1950,1950,0,0,True,False,11,缺少 24 小时前快照,2026-05-11T18:12:07.425241+00:00
Nano-Collective/nanocoder,1883,1883,1883,0,0,True,True,97,已按历史快照计算,2026-05-11T18:12:07.407188+00:00
NeptuneHub/AudioMuse-AI,1700,1700,1700,0,0,True,False,55,缺少 24 小时前快照,2026-05-11T18:12:07.416243+00:00
userfrosting/UserFrosting,1664,1664,1664,0,0,True,False,19,缺少 24 小时前快照,2026-05-11T18:12:07.423233+00:00
apache/solr,1612,1612,1612,0,0,True,False,4,缺少 24 小时前快照,2026-05-11T18:12:07.425241+00:00
EnzymeAD/Enzyme,1601,1601,1601,0,0,True,True,110,已按历史快照计算,2026-05-11T18:12:07.405187+00:00
TailGrids/tailgrids,1557,1557,1557,0,0,True,False,6,缺少 24 小时前快照,2026-05-11T18:12:07.425241+00:00
mkubaczyk/helmsman,1495,1495,1495,0,0,True,False,53,缺少 24 小时前快照,2026-05-11T18:12:07.416243+00:00
serversideup/spin,1481,1481,1481,0,0,True,False,41,缺少 24 小时前快照,2026-05-11T18:12:07.418238+00:00
kimdre/doco-cd,1372,1372,1372,0,0,True,False,47,缺少 24 小时前快照,2026-05-11T18:12:07.417240+00:00
kube-green/kube-green,1342,1342,1342,0,0,True,False,56,缺少 24 小时前快照,2026-05-11T18:12:07.416243+00:00
jsxgraph/jsxgraph,1332,1332,1332,0,0,True,True,72,已按历史快照计算,2026-05-11T18:12:07.413233+00:00
t8y2/dbx,1231,1231,1231,0,0,True,False,62,缺少 24 小时前快照,2026-05-11T18:12:07.415233+00:00
yjl9903/AnimeGarden,1174,1174,1174,0,0,True,True,86,已按历史快照计算,2026-05-11T18:12:07.409214+00:00
ppy/osu-web,1128,1128,1128,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.428233+00:00
OSGeo/grass,1105,1105,1105,0,0,True,True,112,已按历史快照计算,2026-05-11T18:12:07.404186+00:00
rzru/nightingale,1102,1102,1102,0,0,True,True,107,已按历史快照计算,2026-05-11T18:12:07.405187+00:00
apache/ofbiz-framework,1036,1036,1036,0,0,True,False,22,缺少 24 小时前快照,2026-05-11T18:12:07.423233+00:00
EhTagTranslation/Database,1018,1018,1018,0,0,True,False,58,缺少 24 小时前快照,2026-05-11T18:12:07.415233+00:00
howie6879/weekly,1000,1000,1000,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.427233+00:00
xiaoiver/infinite-canvas-tutorial,999,999,999,0,0,True,False,9,缺少 24 小时前快照,2026-05-11T18:12:07.425241+00:00
SemiAnalysisAI/InferenceX,944,944,944,0,0,True,True,98,已按历史快照计算,2026-05-11T18:12:07.407188+00:00
yegor256/takes,877,877,877,0,0,True,False,27,缺少 24 小时前快照,2026-05-11T18:12:07.422243+00:00
ArcadeData/arcadedb,861,861,861,0,0,True,True,68,已按历史快照计算,2026-05-11T18:12:07.413233+00:00
ENTERPILOT/GoModel,860,860,860,0,0,True,False,36,缺少 24 小时前快照,2026-05-11T18:12:07.419234+00:00
bjw-s-labs/home-ops,828,828,828,0,0,True,False,54,缺少 24 小时前快照,2026-05-11T18:12:07.416243+00:00
bgauryy/octocode-mcp,811,811,811,0,0,True,True,99,已按历史快照计算,2026-05-11T18:12:07.407188+00:00
superiorlu/AITreasureBox,794,794,794,0,0,True,True,105,已按历史快照计算,2026-05-11T18:12:07.405187+00:00
openyak/openyak,778,778,778,0,0,True,True,88,已按历史快照计算,2026-05-11T18:12:07.409214+00:00
rcarmo/piclaw,643,643,643,0,0,True,True,90,已按历史快照计算,2026-05-11T18:12:07.409214+00:00
adriannovegil/awesome-observability,627,627,627,0,0,True,False,35,缺少 24 小时前快照,2026-05-11T18:12:07.419234+00:00
flamego/flamego,621,621,621,0,0,True,False,21,缺少 24 小时前快照,2026-05-11T18:12:07.423233+00:00
kviklet/kviklet,599,599,599,0,0,True,False,38,缺少 24 小时前快照,2026-05-11T18:12:07.419234+00:00
suyoumo/ClawProBench,588,588,588,0,0,True,True,79,已按历史快照计算,2026-05-11T18:12:07.411216+00:00
GeminiLight/MindOS,570,570,570,0,0,True,True,83,已按历史快照计算,2026-05-11T18:12:07.410224+00:00
kurtosis-tech/kurtosis,538,538,538,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.427233+00:00
mx-space/core,525,525,525,0,0,True,True,92,已按历史快照计算,2026-05-11T18:12:07.408190+00:00
henrydaum/second-brain,511,511,511,0,0,True,True,65,已按历史快照计算,2026-05-11T18:12:07.414232+00:00
flaviuse/mern-authentication,507,507,507,0,0,True,False,15,缺少 24 小时前快照,2026-05-11T18:12:07.424233+00:00
D-Sketon/hexo-theme-reimu,504,504,504,0,0,True,False,10,缺少 24 小时前快照,2026-05-11T18:12:07.425241+00:00
FrancescoXX/rustcrab,501,501,501,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.427233+00:00
violit-dev/violit,443,443,443,0,0,True,True,74,已按历史快照计算,2026-05-11T18:12:07.412233+00:00
cyhhao/vibe-remote,433,433,433,0,0,True,True,80,已按历史快照计算,2026-05-11T18:12:07.411216+00:00
aree6/LiftShift,425,425,425,0,0,True,True,73,已按历史快照计算,2026-05-11T18:12:07.412233+00:00
ILoveBingLu/CipherTalk,376,376,376,0,0,True,True,71,已按历史快照计算,2026-05-11T18:12:07.413233+00:00
buroa/k8s-gitops,375,375,375,0,0,True,False,42,缺少 24 小时前快照,2026-05-11T18:12:07.418238+00:00
vellum-ai/vellum-assistant,346,346,346,0,0,True,True,96,已按历史快照计算,2026-05-11T18:12:07.408190+00:00
alexandre-daubois/ember,345,345,345,0,0,True,False,28,缺少 24 小时前快照,2026-05-11T18:12:07.422243+00:00
netbox-community/netbox-chart,340,340,340,0,0,True,False,50,缺少 24 小时前快照,2026-05-11T18:12:07.417240+00:00
thomwebb/gac,314,314,314,0,0,True,True,91,已按历史快照计算,2026-05-11T18:12:07.409214+00:00
MIERUNE/svelte-maplibre-gl,301,301,301,0,0,True,True,75,已按历史快照计算,2026-05-11T18:12:07.412233+00:00
Linuxfabrik/monitoring-plugins,274,274,274,0,0,True,False,33,缺少 24 小时前快照,2026-05-11T18:12:07.420235+00:00
