repo,login,country,city,lat,lon,contributions
microsoft/LightGBM,zhangyafeikimi,China,Beijing,39.9042,116.4074,8
microsoft/LightGBM,thomasjpfan,United States,New York,40.7128,-74.006,8
microsoft/LightGBM,Allardvm,Netherlands,Amsterdam,52.3676,4.9041,7
dmlc/xgboost,pommedeterresautee,France,Paris,48.8566,2.3522,301
dmlc/xgboost,hetong007,China,Shanghai,31.2304,121.4737,262
dmlc/xgboost,RAMitchell,Germany,Berlin,52.52,13.405,222
dmlc/xgboost,terrytangyuan,United States,San Francisco,37.7749,-122.4194,174
dmlc/xgboost,razdoburdin,Germany,Berlin,52.52,13.405,61
dmlc/xgboost,nachocano,United States,San Francisco,37.7749,-122.4194,54
dmlc/xgboost,cblsjtu,China,Shanghai,31.2304,121.4737,31
dmlc/xgboost,Far0n,Germany,Berlin,52.52,13.405,30
dmlc/xgboost,JohanManders,Netherlands,Amsterdam,52.3676,4.9041,26
dmlc/xgboost,superbobry,United Kingdom,London,51.5072,-0.1276,26
dmlc/xgboost,canonizer,Germany,Berlin,52.52,13.405,24
dmlc/xgboost,sinhrks,Japan,Tokyo,35.6762,139.6503,20
dmlc/xgboost,yepyao,China,Shanghai,31.2304,121.4737,9
dmlc/xgboost,EricChenDM,China,Beijing,39.9042,116.4074,9
facebookresearch/faiss,mdouze,France,Paris,48.8566,2.3522,341
facebookresearch/faiss,beauby,France,Paris,48.8566,2.3522,105
facebookresearch/faiss,ddrcoder,United States,San Francisco,37.7749,-122.4194,16
facebookresearch/faiss,chasingegg,China,Shanghai,31.2304,121.4737,8
facebookresearch/faiss,aknayar,United States,New York,40.7128,-74.006,8
facebookresearch/faiss,kyamagu,Japan,Tokyo,35.6762,139.6503,7
facebookresearch/faiss,cjnolet,United States,San Francisco,37.7749,-122.4194,5
apache/airflow,kaxil,United Kingdom,London,51.5072,-0.1276,2005
apache/airflow,ashb,United Kingdom,London,51.5072,-0.1276,945
apache/airflow,amoghrajesh,India,Bangalore,12.9716,77.5946,845
apache/airflow,jscheffl,Germany,Berlin,52.52,13.405,695
apache/airflow,bbovenzi,United States,San Francisco,37.7749,-122.4194,596
apache/airflow,pierrejeambrun,France,Paris,48.8566,2.3522,550
apache/airflow,hussein-awala,France,Paris,48.8566,2.3522,361
apache/airflow,bugraoz93,Netherlands,Amsterdam,52.3676,4.9041,212
apache/airflow,tirkarthi,India,Bangalore,12.9716,77.5946,164
apache/airflow,choo121600,United States,San Francisco,37.7749,-122.4194,129
prefecthq/prefect,zhen0,United States,New York,40.7128,-74.006,373
prefecthq/prefect,chrisguidry,United States,San Francisco,37.7749,-122.4194,336
prefecthq/prefect,anna-geller,Germany,Berlin,52.52,13.405,123
prefecthq/prefect,aaazzam,United States,New York,40.7128,-74.006,102
prefecthq/prefect,rpeden,Canada,Toronto,43.6532,-79.3832,45
prefecthq/prefect,khuyentran1401,United States,San Francisco,37.7749,-122.4194,31
streamlit/streamlit,lukasmasuch,Germany,Berlin,52.52,13.405,1291
streamlit/streamlit,treuille,United States,San Francisco,37.7749,-122.4194,1043
streamlit/streamlit,vdonato,United States,New York,40.7128,-74.006,257
streamlit/streamlit,raethlein,Germany,Berlin,52.52,13.405,117
streamlit/streamlit,jrieke,Germany,Berlin,52.52,13.405,56
streamlit/streamlit,nthmost,United States,San Francisco,37.7749,-122.4194,26
streamlit/streamlit,whitphx,Japan,Tokyo,35.6762,139.6503,20
gradio-app/gradio,pngwn,United Kingdom,London,51.5072,-0.1276,702
gradio-app/gradio,whitphx,Japan,Tokyo,35.6762,139.6503,180
gradio-app/gradio,cbensimon,France,Paris,48.8566,2.3522,18
gradio-app/gradio,eltociear,Japan,Tokyo,35.6762,139.6503,14
gradio-app/gradio,gary149,France,Paris,48.8566,2.3522,10
gradio-app/gradio,deckar01,United States,San Francisco,37.7749,-122.4194,9
gradio-app/gradio,badbye,China,Beijing,39.9042,116.4074,8
gradio-app/gradio,radames,United States,San Francisco,37.7749,-122.4194,8
gradio-app/gradio,Cassini-chris,Germany,Berlin,52.52,13.405,7
gradio-app/gradio,majiayu000,China,Beijing,39.9042,116.4074,7
run-llama/llama_index,Disiok,United States,San Francisco,37.7749,-122.4194,210
run-llama/llama_index,nerdai,Canada,Toronto,43.6532,-79.3832,169
run-llama/llama_index,ravi03071991,United States,San Francisco,37.7749,-122.4194,104
run-llama/llama_index,AstraBert,Germany,Berlin,52.52,13.405,102
run-llama/llama_index,seldo,United States,San Francisco,37.7749,-122.4194,88
run-llama/llama_index,jamesbraza,United States,San Francisco,37.7749,-122.4194,69
run-llama/llama_index,sourabhdesai,United States,San Francisco,37.7749,-122.4194,58
run-llama/llama_index,Florian-BACHO,France,Paris,48.8566,2.3522,27
run-llama/llama_index,nfiacco,United States,San Francisco,37.7749,-122.4194,24
vllm-project/vllm,youkaichao,China,Beijing,39.9042,116.4074,470
vllm-project/vllm,Isotr0py,China,Beijing,39.9042,116.4074,405
vllm-project/vllm,jeejeelee,China,Beijing,39.9042,116.4074,283
vllm-project/vllm,russellb,United States,San Francisco,37.7749,-122.4194,179
ollama/ollama,BruceMacD,United States,San Francisco,37.7749,-122.4194,352
ollama/ollama,hoyyeva,Canada,Toronto,43.6532,-79.3832,61
ollama/ollama,gr4ceG,United States,San Francisco,37.7749,-122.4194,14
ollama/ollama,npardal,Canada,Toronto,43.6532,-79.3832,11
ollama/ollama,danemadsen,Australia,Sydney,-33.8688,151.2093,8
ollama/ollama,zhanluxianshen,China,Beijing,39.9042,116.4074,7
open-webui/open-webui,cheahjs,United Kingdom,London,51.5072,-0.1276,215
