repo,login,country,city,lat,lon,contributions,raw_location
pandas-dev/pandas,MarcoGorelli,,,,,340,Cardiff
pandas-dev/pandas,WillAyd,,,,,340,"Lewes, DE"
pandas-dev/pandas,adamklein,,,,,327,NYC
pandas-dev/pandas,datapythonista,,,,,275,
pandas-dev/pandas,jtratner,United States,San Francisco,37.7749,-122.4194,250,"San Francisco, CA"
pandas-dev/pandas,changhiskhan,United States,San Francisco,37.7749,-122.4194,246,"San Francisco, CA"
pandas-dev/pandas,lithomas1,,,,,245,"San Jose, CA"
pandas-dev/pandas,lukemanley,,,,,225,
pandas-dev/pandas,twoertwein,,,,,221,
pandas-dev/pandas,ShaharNaveh,,,,,206,::1
pandas-dev/pandas,attack68,,,,,203,"Stockholm, Sweden"
pandas-dev/pandas,natmokval,,,,,173,Karlsruhe
pandas-dev/pandas,jschendel,,,,,163,Sawatch Range
pandas-dev/pandas,hayd,United States,San Francisco,37.7749,-122.4194,160,"San Francisco Bay Area, CA, USA"
pandas-dev/pandas,fangchenli,,,,,156,"Seattle, WA"
pandas-dev/pandas,dsaxton,,,,,155,
pandas-dev/pandas,mzeitlin11,,,,,118,
pandas-dev/pandas,DeaMariaLeon,France,Paris,48.8566,2.3522,114,France
pandas-dev/pandas,orbitfold,Germany,Berlin,52.52,13.405,111,"Munich, Germany"
pandas-dev/pandas,alimcmaster1,United Kingdom,London,51.5072,-0.1276,104,London
pandas-dev/pandas,toobaz,,,,,93,
pandas-dev/pandas,jseabold,,,,,89,"Nashville, TN"
pandas-dev/pandas,charlesdong1991,Netherlands,Amsterdam,52.3676,4.9041,89,Netherlands
pandas-dev/pandas,chris-b1,,,,,86,
pandas-dev/pandas,Dr-Irv,,,,,86,"Coral Gables, FL"
pandas-dev/pandas,h-vetinari,,,,,85,
scikit-learn/scikit-learn,ogrisel,France,Paris,48.8566,2.3522,2573,"Paris, France"
scikit-learn/scikit-learn,amueller,,,,,2073,Los Gatos
scikit-learn/scikit-learn,larsmans,,,,,1265,
scikit-learn/scikit-learn,agramfort,France,Paris,48.8566,2.3522,1086,"Paris, France"
scikit-learn/scikit-learn,glouppe,,,,,936,Belgium
scikit-learn/scikit-learn,thomasjpfan,United States,New York,40.7128,-74.006,919,New York City
scikit-learn/scikit-learn,pprett,,,,,860,"Vienna, Austria"
scikit-learn/scikit-learn,mblondel,France,Paris,48.8566,2.3522,778,"Paris, France"
scikit-learn/scikit-learn,vene,Netherlands,Amsterdam,52.3676,4.9041,775,Amsterdam
scikit-learn/scikit-learn,jnothman,Australia,Sydney,-33.8688,151.2093,773,Sydney
scikit-learn/scikit-learn,glemaitre,France,Paris,48.8566,2.3522,661,Paris-Saclay / France
scikit-learn/scikit-learn,lesteve,,,,,644,
scikit-learn/scikit-learn,arjoly,,,,,580,
scikit-learn/scikit-learn,jeremiedbb,,,,,485,
scikit-learn/scikit-learn,scikit-learn-bot,,,,,448,
scikit-learn/scikit-learn,jakevdp,,,,,343,Oakland CA
scikit-learn/scikit-learn,MechCoder,Netherlands,Amsterdam,52.3676,4.9041,313,Amsterdam 
scikit-learn/scikit-learn,adrinjalali,Germany,Berlin,52.52,13.405,298,Germany
scikit-learn/scikit-learn,qinhanmin2014,China,Beijing,39.9042,116.4074,264,"Shenzhen, China"
scikit-learn/scikit-learn,NicolasHug,United Kingdom,London,51.5072,-0.1276,250,London
scikit-learn/scikit-learn,lucyleeow,Australia,Sydney,-33.8688,151.2093,246,Australia
scikit-learn/scikit-learn,NelleV,,,,,238,Grenoble
scikit-learn/scikit-learn,robertlayton,Australia,Sydney,-33.8688,151.2093,233,Australia
scikit-learn/scikit-learn,lorentzenchr,,,,,232,Switzerland
scikit-learn/scikit-learn,raghavrv,France,Paris,48.8566,2.3522,140,"Paris, France"
scikit-learn/scikit-learn,ahojnnes,,,,,137,Zurich
scikit-learn/scikit-learn,jjerphan,France,Paris,48.8566,2.3522,132,"Paris, France"
scikit-learn/scikit-learn,rth,France,Paris,48.8566,2.3522,132,"Paris, France"
scikit-learn/scikit-learn,StefanieSenger,Germany,Berlin,52.52,13.405,113,Berlin
scikit-learn/scikit-learn,TomDLT,United States,San Francisco,37.7749,-122.4194,113,"San Francisco, California"
scikit-learn/scikit-learn,Charlie-XIAO,,,,,111,
scikit-learn/scikit-learn,weilinear,,,,,109,Seattle
scikit-learn/scikit-learn,betatim,,,,,106,"Zurich, Switzerland"
scikit-learn/scikit-learn,cmarmo,France,Paris,48.8566,2.3522,105,France
scikit-learn/scikit-learn,clayw,United States,San Francisco,37.7749,-122.4194,103,San Francisco
scikit-learn/scikit-learn,kemaleren,,,,,100,
scikit-learn/scikit-learn,oddskool,,,,,95,
scikit-learn/scikit-learn,AlexanderFabisch,,,,,91,Bremen
scikit-learn/scikit-learn,alextp,,,,,87,
scikit-learn/scikit-learn,ArturoAmorQ,,,,,87,
ray-project/ray,ericl,,,,,1334,
ray-project/ray,sven1977,United States,San Francisco,37.7749,-122.4194,1170,"San Francisco, CA; Düsseldorf, Germany"
ray-project/ray,edoakes,,,,,1159,"Minneapolis, MN"
ray-project/ray,aslonnie,,,,,991,
ray-project/ray,robertnishihara,,,,,924,
ray-project/ray,can-anyscale,,,,,875,
ray-project/ray,krfricke,,,,,865,
ray-project/ray,rkooo567,,,,,814,
ray-project/ray,bveeramani,,,,,754,"Berkeley, California"
ray-project/ray,pcmoritz,,,,,638,Berkeley
ray-project/ray,richardliaw,,,,,604,Berkeley
ray-project/ray,jjyao,United States,San Francisco,37.7749,-122.4194,581,USA
ray-project/ray,simon-mo,,,,,509,"Berkeley, CA"
ray-project/ray,stephanie-wang,,,,,474,
ray-project/ray,amogkam,,,,,450,
ray-project/ray,architkulkarni,,,,,422,
ray-project/ray,fishbone,,,,,422,
ray-project/ray,justinvyu,United States,San Francisco,37.7749,-122.4194,363,"San Francisco, CA"
ray-project/ray,zcin,,,,,341,
ray-project/ray,ijrsvt,United States,San Francisco,37.7749,-122.4194,307,San Francisco
ray-project/ray,rickyyx,,,,,304,
ray-project/ray,ArturNiederfahrenhorst,,,,,291,Cologne
ray-project/ray,Yard1,,,,,289,
ray-project/ray,scv119,United States,San Francisco,37.7749,-122.4194,287,United States
ray-project/ray,dentiny,,,,,287,
ray-project/ray,raulchen,,,,,282,
ray-project/ray,kouroshHakha,,,,,281,San Fransisco
ray-project/ray,dayshah,,,,,277,
ray-project/ray,matthewdeng,,,,,272,
ray-project/ray,clarkzinzow,,,,,256,"Mountain View, CA"
ray-project/ray,mehrdadn,,,,,250,
ray-project/ray,kevin85421,United States,San Francisco,37.7749,-122.4194,249,United States
ray-project/ray,elliot-barn,,,,,231,
ray-project/ray,shrekris-anyscale,,,,,229,
ray-project/ray,jovany-wang,,,,,209,Hangzhou
ray-project/ray,xwjiang2010,,,,,205,
ray-project/ray,suquark,,,,,203,Berkeley
ray-project/ray,DmitriGekhtman,United States,San Francisco,37.7749,-122.4194,195,San Francisco
ray-project/ray,khluu,,,,,194,
ray-project/ray,simonsays1980,,,,,190,Portugal
jax-ml/jax,Google-ML-Automation,,,,,3746,
jax-ml/jax,hawkinsp,,,,,3481,"Princeton, NJ"
jax-ml/jax,mattjj,United States,San Francisco,37.7749,-122.4194,2830,San Francisco
jax-ml/jax,jakevdp,,,,,2644,Oakland CA
jax-ml/jax,yashk2810,,,,,2128,
jax-ml/jax,gnecula,,,,,1255,Switzerland
jax-ml/jax,apaszke,Germany,Berlin,52.52,13.405,1091,"Berlin, Germany"
jax-ml/jax,superbobry,United Kingdom,London,51.5072,-0.1276,925,"London, UK"
jax-ml/jax,froystig,,,,,691,sfba
jax-ml/jax,skye,,,,,502,
jax-ml/jax,bchetioui,,,,,469,"Zürich, Switzerland"
jax-ml/jax,sharadmv,United States,San Francisco,37.7749,-122.4194,459,"San Francisco, CA"
jax-ml/jax,allanrenucci,,,,,315,"Zurich, Switzerland"
jax-ml/jax,dfm,,,,,283,NYC
jax-ml/jax,tlongeri,,,,,236,
jax-ml/jax,justinjfu,United States,San Francisco,37.7749,-122.4194,229,United States
jax-ml/jax,pschuh,,,,,226,
jax-ml/jax,danielsuo,United States,New York,40.7128,-74.006,199,"New York, NY"
jax-ml/jax,dimitar-asenov,,,,,163,"Zurich, Swtizerland"
jax-ml/jax,chr1sj0nes,United Kingdom,London,51.5072,-0.1276,155,"London, UK"
jax-ml/jax,shoyer,United States,San Francisco,37.7749,-122.4194,152,"San Francisco, CA"
jax-ml/jax,bythew3i,,,,,142,
jax-ml/jax,dougalm,,,,,140,"Cambridge, MA"
jax-ml/jax,nitins17,,,,,130,
jax-ml/jax,jekbradbury,,,,,127,
jax-ml/jax,rajasekharporeddy,,,,,111,
jax-ml/jax,LenaMartens,,,,,107,
jax-ml/jax,zhangqiaorjc,,,,,98,"Mountain View, CA"
jax-ml/jax,emilyfertig,,,,,95,
jax-ml/jax,WindQAQ,,,,,88,"Sunnyvale, CA"
jax-ml/jax,belitskiy,,,,,88,
jax-ml/jax,ayaka14732,United Kingdom,London,51.5072,-0.1276,87,London
jax-ml/jax,jblespiau,,,,,87,
jax-ml/jax,cperivol,United Kingdom,London,51.5072,-0.1276,87,London
jax-ml/jax,hyeontaek,United States,San Francisco,37.7749,-122.4194,83,"Mountain View, CA, USA"
jax-ml/jax,golechwierowicz,,,,,81,"Zurich, Switzerland"
jax-ml/jax,levskaya,United States,San Francisco,37.7749,-122.4194,80,"san francisco, ca"
jax-ml/jax,fehiepsi,,,,,77,"Providence, RI"
jax-ml/jax,j-towns,United Kingdom,London,51.5072,-0.1276,73,"London, UK"
jax-ml/jax,dependabot[bot],,,,,72,
apache/spark,dongjoon-hyun,,,,,2328,San Jose
apache/spark,HyukjinKwon,,,,,1961,South Korea
apache/spark,zhengruifeng,China,Beijing,39.9042,116.4074,1810,Beijing <> Singapore
apache/spark,mateiz,United States,San Francisco,37.7749,-122.4194,1588,"San Francisco, CA"
apache/spark,rxin,United States,San Francisco,37.7749,-122.4194,1482,San Francisco
