repo,cluster,pca_x,pca_y,anomaly_label,anomaly_reason,stars,forks,contributors,commits_recent,issues_recent,prs_recent,popularity_score,activity_score,health_score,globalization_score
langfuse/langfuse,0,0.41021104431977834,0.9361654783090138,normal,国际化不足,26925,2730,20,30,24,30,0.6543127992381126,0.5222199255890865,0.5055549813972716,0.3170454545454545
apache/flink,3,0.01804874682772671,-2.6507240577043176,normal,高热度低活跃、国际化不足,25990,13927,20,30,0,30,0.753568397045115,0.3466101694915254,0.2199858757062147,0.3375
mlflow/mlflow,2,4.211135547711469,2.2051510452055414,normal,国际化不足,25853,5706,40,60,13,60,0.7019133199521326,0.7951219512195121,0.6423702313946216,0.3125
pulumi/pulumi,0,-0.27245518329437174,0.7633786373773619,normal,国际化不足,25164,1367,20,30,7,30,0.644092990619024,0.3978296816866474,0.5589812299454714,0.275
clockworklabs/SpacetimeDB,1,-0.5200618473374299,-1.4976165995850916,normal,国际化不足,24646,1015,20,30,3,30,0.6165492401114967,0.3685613890037206,0.2921403472509302,0.3125
PaddlePaddle/Paddle,1,-0.6252859206114646,-1.6053690789345363,normal,国际化不足,23882,5988,20,30,0,30,0.7154633936684014,0.3466101694915254,0.328319209039548,0.0875
volcengine/OpenViking,1,-0.6359754511891174,-0.5076140795068581,normal,国际化不足,23735,1764,20,30,7,30,0.624570075655002,0.3978296816866474,0.3958859918502332,0.0875
Tencent/ncnn,1,-0.46196233868552006,-0.8854107675804572,normal,国际化不足,23206,4421,20,30,3,30,0.6988221651276036,0.3685613890037206,0.3921403472509301,0.125
phoenixframework/phoenix,0,-0.27001855944581343,1.9367949216368747,normal,正常,23001,3058,20,30,5,30,0.6857930700240256,0.3831955353451839,0.6791322171696293,0.4125
argoproj/argo-cd,3,0.29229445168228674,-2.095410477815321,normal,正常,22854,7187,20,30,6,30,0.6877528516237277,0.3905126085159157,0.2726281521289789,0.3825
matplotlib/matplotlib,3,0.3133274867150735,-0.3702992058800529,normal,正常,22782,8327,20,30,8,30,0.717692164800975,0.4051467548573791,0.4304533553810114,0.575
jaegertracing/jaeger,1,-0.13335959858486152,-1.203621160342565,normal,正常,22780,2889,20,30,6,30,0.6713331600617439,0.3905126085159157,0.3142948187956456,0.5
jhipster/generator-jhipster,1,-0.296753249211478,-0.7962159499565488,normal,正常,22407,4174,20,30,2,30,0.6990869147216018,0.3612443158329889,0.3736444122915805,0.5446428571428571
prefecthq/prefect,2,4.100764977613073,3.186619798999381,normal,潜力成长型,22343,2298,40,60,16,60,0.6513880121116821,0.8170731707317073,0.7094766260162602,0.4
elastic/kibana,3,1.6318863500496592,-2.481178060426874,normal,国际化不足,21079,8572,20,30,16,30,0.7206236594102964,0.4636833402232327,0.3138375017224748,0.295
microsoft/onnxruntime,3,0.34789912262080863,-0.6512877332041996,normal,国际化不足,20462,3900,20,30,19,30,0.6687064706798813,0.4856345597354279,0.3538647802847341,0.2875
baidu/amis,0,-1.4939023328200056,-0.2866219003956795,normal,国际化不足,18864,2723,20,2,18,30,0.6484993599926177,0.2884869780901199,0.4526773000780855,0.0875
tursodatabase/turso,1,0.011554480342926337,-0.22905103046159975,normal,正常,18696,884,20,30,12,30,0.5892556718944489,0.4344150475403059,0.3919370952184098,0.5
screenpipe/screenpipe,1,-0.048492823177976534,-0.06418449288216918,normal,正常,18632,1696,20,30,11,30,0.6151361744132177,0.4270979743695742,0.4181381299560299,0.4125
plotly/plotly.py,1,-0.0912796825825252,-0.6638373314265952,normal,国际化不足,18512,2803,20,30,13,30,0.6519444862240691,0.4417321207110376,0.3572279019726312,0.295
microsoft/LightGBM,2,3.2543142498186945,1.9545161698539315,normal,正常,18335,4013,40,34,21,60,0.6721536753962615,0.6773873501446879,0.594346837536172,0.6089285714285714
rqlite/rqlite,0,-0.0839835383982694,1.592726261448508,normal,正常,17489,780,20,30,7,30,0.6029288956456236,0.3978296816866474,0.6054098013740428,0.6625
weaviate/weaviate,1,-0.5544242278010675,-1.3528164262832014,normal,正常,16158,1274,20,30,2,30,0.6011480151177274,0.3612443158329889,0.2986444122915805,0.4125
apache/doris,1,-0.8277487589731529,-1.5482632009657262,normal,国际化不足,15325,3779,20,30,1,30,0.6481391263733915,0.3539272426622571,0.3051484773322309,0.0875
jupyterlab/jupyterlab,3,0.31702290708007985,-0.6349511187774093,normal,正常,15141,3985,20,30,11,30,0.6499981812014993,0.4270979743695742,0.3870775238954238,0.45
