repo,stars,forks,open_issues,collected_at
MIERUNE/svelte-maplibre-gl,301,17.0,22.0,2026-05-10T18:17:06.199661+00:00
violit-dev/violit,443,20.0,4.0,2026-05-10T18:17:06.199661+00:00
aree6/LiftShift,425,61.0,1.0,2026-05-10T18:17:06.199661+00:00
jsxgraph/jsxgraph,1332,197.0,97.0,2026-05-10T18:17:06.200662+00:00
ILoveBingLu/CipherTalk,376,90.0,41.0,2026-05-10T18:17:06.200662+00:00
clidey/whodb,4814,205.0,33.0,2026-05-10T18:17:06.200662+00:00
matplotlib/matplotlib,22782,8327.0,1486.0,2026-05-10T18:17:06.201662+00:00
ArcadeData/arcadedb,861,103.0,50.0,2026-05-10T18:17:06.202180+00:00
tursodatabase/turso,18696,884.0,670.0,2026-05-10T18:17:06.202180+00:00
cockroachdb/cockroach,32141,4120.0,8235.0,2026-05-10T18:17:06.202180+00:00
henrydaum/second-brain,511,54.0,3.0,2026-05-10T18:17:06.203189+00:00
StarRocks/starrocks,11657,2407.0,1019.0,2026-05-10T18:17:06.203189+00:00
TableProApp/TablePro,3164,196.0,19.0,2026-05-10T18:17:06.203189+00:00
t8y2/dbx,1231,89.0,38.0,2026-05-10T18:17:06.203189+00:00
databasus/databasus,6804,354.0,7.0,2026-05-10T18:17:06.204190+00:00
rqlite/rqlite,17489,780.0,71.0,2026-05-10T18:17:06.204190+00:00
databendlabs/databend,9285,870.0,552.0,2026-05-10T18:17:06.204190+00:00
EhTagTranslation/Database,1018,109.0,5.0,2026-05-10T18:17:06.204190+00:00
seaweedfs/seaweedfs,32184,2808.0,728.0,2026-05-10T18:17:06.205194+00:00
kube-green/kube-green,1342,96.0,45.0,2026-05-10T18:17:06.205194+00:00
NeptuneHub/AudioMuse-AI,1700,94.0,18.0,2026-05-10T18:17:06.205194+00:00
bjw-s-labs/home-ops,828,43.0,1.0,2026-05-10T18:17:06.205194+00:00
mkubaczyk/helmsman,1495,180.0,1.0,2026-05-10T18:17:06.206270+00:00
pulumi/pulumi,25164,1367.0,2438.0,2026-05-10T18:17:06.206270+00:00
jhipster/generator-jhipster,22407,4174.0,125.0,2026-05-10T18:17:06.206270+00:00
netbox-community/netbox-chart,340,183.0,4.0,2026-05-10T18:17:06.206270+00:00
pytorch/pytorch,99788,27738.0,18501.0,2026-05-10T18:17:30.910298+00:00
tensorflow/tensorflow,195050,75268.0,5058.0,2026-05-10T18:17:30.911297+00:00
huggingface/transformers,160439,33151.0,2357.0,2026-05-10T18:17:30.912296+00:00
langchain-ai/langchain,136309,22529.0,569.0,2026-05-10T18:17:30.914295+00:00
numpy/numpy,31999,12348.0,2365.0,2026-05-10T18:17:30.915300+00:00
pandas-dev/pandas,48710,19925.0,3318.0,2026-05-10T18:17:30.916300+00:00
scikit-learn/scikit-learn,66024,26997.0,2024.0,2026-05-10T18:17:30.917298+00:00
